Index,Script,Time
0,Hey there fellow travelers!,2
1,Today we are going to talk about the single most beautiful city in the world.,7
2,And the winner is... drumroll please... Venice!,4.5
3,Yes Venice Italy.,2.5
4,There's something truly magical about this city that's built on water.,5.5
5,The canals the gondolas the maze-like streets the stunning architecture... it all adds up to create a truly unique and unforgettable experience.,18
6,You can spend days just wandering around getting lost and discovering hidden gems at every turn.,14
7,And let's not forget the food!,1.5
8,Fresh seafood delicious pasta gelato that'll make you swoon... Venice is a foodie paradise.,9
9,Of course there are some downsides to visiting such a popular destination.,6.5
10,The crowds can be overwhelming and prices can be steep.,6
11,But I promise you it's worth it.,4
12,Venice truly is the single most beautiful city in the world.,9
13,So hop on a plane or train and go see it for yourself.,11
14,You won't regret it.,3.5